标题：【资原帖】生活大爆炸1-11，中英双字高 青，2楼来 	 链接：http://tieba.baidu.com/p/5593124255 	 发帖人：小可爱哦... 	 最后回复时间：16:23 	 回复数量：4 
标题：【资原帖】生活大爆炸1-11，中英双字高 青，2楼来 	 链接：http://tieba.baidu.com/p/5593037054 	 发帖人：你的小掰呀 	 最后回复时间：15:49 	 回复数量：3 
标题：从第三季到第十季居然真的照应这句台词了 	 链接：http://tieba.baidu.com/p/4920803165 	 发帖人：ok说什么... 	 最后回复时间：15:36 	 回复数量：14 
标题：【TBBT】《少年谢尔顿》熟肉资源 	 链接：http://tieba.baidu.com/p/5555451893 	 发帖人：玺子 	 最后回复时间：14:00 	 回复数量：47 
标题：求助，艾米戴的这个帽子哪里买？ 	 链接：http://tieba.baidu.com/p/5592730018 	 发帖人：1196695359 	 最后回复时间：13:36 	 回复数量：1 
标题：【资原帖】生活大爆炸1-11，中英双字高 青，2楼来 	 链接：http://tieba.baidu.com/p/5592991142 	 发帖人：小可爱迷... 	 最后回复时间：13:32 	 回复数量：5 
标题：路边的花不要采 	 链接：http://tieba.baidu.com/p/5592509360 	 发帖人：龙龙龙571 	 最后回复时间：11:52 	 回复数量：0 
标题：【资原帖】生活大爆炸1-11，中英双字高 青，2楼来 	 链接：http://tieba.baidu.com/p/5592925696 	 发帖人：你的小掰呀 	 最后回复时间：11:55 	 回复数量：2 
标题：我发表了一篇图片贴，大伙来看看吧~ 	 链接：http://tieba.baidu.com/p/5592799862 	 发帖人：做最做最... 	 最后回复时间：10:33 	 回复数量：0 
标题：【资原帖】生活大爆炸1-11，中英双字高 青，2楼来 	 链接：http://tieba.baidu.com/p/5592007570 	 发帖人：气的吃手... 	 最后回复时间：10:52 	 回复数量：7 
标题：我在第二季最后一集发现了一些小细节，很有意思 	 链接：http://tieba.baidu.com/p/5060890115 	 发帖人：159456789aaazz 	 最后回复时间：02:05 	 回复数量：15 
标题：谢尔顿讲黄笑话哈哈哈哈，对艾米的诱惑真的这么大吗 	 链接：http://tieba.baidu.com/p/5550031261 	 发帖人：hey借个微笑 	 最后回复时间：01:34 	 回复数量：9 
标题：还有人记得谢耳朵鄙视霍华德是工程师 这是哪一集吗 	 链接：http://tieba.baidu.com/p/5566637420 	 发帖人：纪检年份瞻 	 最后回复时间：01:31 	 回复数量：4 
标题：如何成为像谢耳朵这样的人。 	 链接：http://tieba.baidu.com/p/5591891305 	 发帖人：鴞之歌 	 最后回复时间：01:27 	 回复数量：1 
标题：你们有数过这么多季一共说了多少个SOAB 	 链接：http://tieba.baidu.com/p/5591722913 	 发帖人：宇文93 	 最后回复时间：3-12 	 回复数量：0 
标题：【TBBT】《生活大爆炸》第十季熟肉 	 链接：http://tieba.baidu.com/p/5546422491 	 发帖人：玺子 	 最后回复时间：3-12 	 回复数量：136 
标题：这就是我觉得两部剧的不同 	 链接：http://tieba.baidu.com/p/5572174923 	 发帖人：科学官谢... 	 最后回复时间：3-12 	 回复数量：2 
标题：生活大爆炸测试题，你能撑到第几题？ 	 链接：http://tieba.baidu.com/p/5565359914 	 发帖人：是你的辣... 	 最后回复时间：3-12 	 回复数量：50 
标题：有人知道tbbt里面谢耳朵家里的白板和那个支架在哪里有同款卖 	 链接：http://tieba.baidu.com/p/5569871484 	 发帖人：熊瘾宝宝 	 最后回复时间：3-12 	 回复数量：2 
标题：生活大爆炸第十一季15级 leonard用的是什么键盘？ 	 链接：http://tieba.baidu.com/p/5585599919 	 发帖人：inuyasha_xin 	 最后回复时间：3-12 	 回复数量：1 
标题：惊了！谢尔顿居然没坐在他的专座上！ 	 链接：http://tieba.baidu.com/p/5551044576 	 发帖人：太宰疲 	 最后回复时间：3-12 	 回复数量：7 
标题：没人提到谢尔顿的妈妈得了奥斯卡最佳女配角提名吗？ 	 链接：http://tieba.baidu.com/p/5591075905 	 发帖人：kayely 	 最后回复时间：3-12 	 回复数量：1 
标题：为什么第一季第八集他们要无视raj 	 链接：http://tieba.baidu.com/p/5591009053 	 发帖人：XAA 	 最后回复时间：3-12 	 回复数量：0 
标题：请问下，有没有人去美国看过《生活大爆炸》现场录制啊？我想去看 	 链接：http://tieba.baidu.com/p/5588780175 	 发帖人：Regina 	 最后回复时间：3-12 	 回复数量：1 
标题：！！！！！来人鉴定一下，谢耳朵看的是不是  阿衰！！！0704 	 链接：http://tieba.baidu.com/p/5551253810 	 发帖人：花生怎么样 	 最后回复时间：3-11 	 回复数量：11 
标题：谢耳朵的哥哥是不是在生活大爆炸里从没出场过？ 	 链接：http://tieba.baidu.com/p/5452089394 	 发帖人：铁马秋风... 	 最后回复时间：3-11 	 回复数量：33 
标题：耳朵炸出的少女心 	 链接：http://tieba.baidu.com/p/5225572753 	 发帖人：余生鹊相 	 最后回复时间：3-11 	 回复数量：17 
标题：因为不是喜剧，是悲剧，就说小谢尔顿这部剧很难看？？ 	 链接：http://tieba.baidu.com/p/5499312808 	 发帖人：耳朵Moonpie 	 最后回复时间：3-11 	 回复数量：33 
标题：质子教授真的死了么？那22集怎么做的？合成的？ 	 链接：http://tieba.baidu.com/p/3022921545 	 发帖人：skulltear 	 最后回复时间：3-11 	 回复数量：40 
标题：《生活大爆炸》中你画我猜片段，笑喷… 	 链接：http://tieba.baidu.com/p/5586995791 	 发帖人：九月久 	 最后回复时间：3-11 	 回复数量：3 
标题：重温了下第五季，突然发现小谢尔顿里谢尔顿的爹在生活大爆炸里客 	 链接：http://tieba.baidu.com/p/5559042447 	 发帖人：SylviaCJY 	 最后回复时间：3-11 	 回复数量：13 
标题：第十季最后一集谢耳朵求婚不是全剧终么？？第十一季是啥？咋回事 	 链接：http://tieba.baidu.com/p/5577563437 	 发帖人：752621192 	 最后回复时间：3-11 	 回复数量：12 
标题：生活大爆炸和老友记哪个好看？ 	 链接：http://tieba.baidu.com/p/3575236686 	 发帖人：只留取心... 	 最后回复时间：3-11 	 回复数量：154 
标题：个人觉得生活大爆炸里的智商排名.. 	 链接：http://tieba.baidu.com/p/3425434836 	 发帖人：CH魔君七夜 	 最后回复时间：3-11 	 回复数量：2 
标题：很好奇少年谢耳朵的这位越南好基友后来干什么去了 	 链接：http://tieba.baidu.com/p/5488499844 	 发帖人：简称顿... 	 最后回复时间：3-11 	 回复数量：26 
标题：印度不是反对婚前性行为么，为什么他们兄妹两个都那么容易。。 	 链接：http://tieba.baidu.com/p/1069484480 	 发帖人：娃娃0426 	 最后回复时间：3-11 	 回复数量：23 
标题：注意看右边克莱尔妹纸 	 链接：http://tieba.baidu.com/p/5555130371 	 发帖人：耳朵Moonpie 	 最后回复时间：3-10 	 回复数量：27 
标题：歪果仁是怎么理解中国户口的呢 	 链接：http://tieba.baidu.com/p/5436980614?fid=1441624 	 发帖人：鹰啸云巅1 	 最后回复时间：3-10 	 回复数量：3 
标题：看了这么久，觉得这一些人里面就莱纳德人品不行。 	 链接：http://tieba.baidu.com/p/3841146050 	 发帖人：火山冰点 	 最后回复时间：3-10 	 回复数量：46 
标题：《生活大爆炸》Raj前女友大集会 	 链接：http://tieba.baidu.com/p/4948944696 	 发帖人：我才是SHEIDEN 	 最后回复时间：3-10 	 回复数量：31 
标题：你所不知道的Amy 	 链接：http://tieba.baidu.com/p/4990672549 	 发帖人：鬮乆 	 最后回复时间：3-10 	 回复数量：37 
标题：【TBBT】S11E15熟肉 	 链接：http://tieba.baidu.com/p/5545708275 	 发帖人：玺子 	 最后回复时间：3-10 	 回复数量：29 
标题：哪位爸爸知道这是哪一集谢谢啦 	 链接：http://tieba.baidu.com/p/5225476553 	 发帖人：1542348904 	 最后回复时间：3-10 	 回复数量：3 
标题：小谢尔顿的眼睛好漂亮啊 	 链接：http://tieba.baidu.com/p/5526269174 	 发帖人：耳朵Moonpie 	 最后回复时间：3-10 	 回复数量：19 
标题：谢尔顿和艾米去领证结婚，大喜的日子谢尔顿却担心有梅毒？ 	 链接：http://tieba.baidu.com/p/5470836375 	 发帖人：沐K拉哇 	 最后回复时间：3-10 	 回复数量：34 
标题：开个新帖，从今天起，更新爆炸主创们的ins 	 链接：http://tieba.baidu.com/p/5544333608 	 发帖人：宇智波谢... 	 最后回复时间：3-10 	 回复数量：124 
标题：求歌名！谢耳朵和拉杰什管道里唱了一首采煤歌！好好听！ 	 链接：http://tieba.baidu.com/p/5587166432 	 发帖人：放飛的冰... 	 最后回复时间：3-10 	 回复数量：2 
标题：不知道是不是只有我无聊的时候会翻来覆去的看每一季！ 	 链接：http://tieba.baidu.com/p/5334648333 	 发帖人：旋转烟花 	 最后回复时间：3-10 	 回复数量：0 
标题：中国的影迷们！你们好！ 	 链接：http://tieba.baidu.com/p/5081557204 	 发帖人：华夏型茶... 	 最后回复时间：3-10 	 回复数量：60 
标题：很好吃哦 	 链接：http://tieba.baidu.com/p/5586996039 	 发帖人：巨型一号... 	 最后回复时间：3-10 	 回复数量：0 
标题：这个小帅哥是谁啊 	 链接：http://tieba.baidu.com/p/5586819022 	 发帖人：无中生有 	 最后回复时间：3-10 	 回复数量：0 
标题：霍华德搞笑中文 	 链接：http://tieba.baidu.com/p/5518810982 	 发帖人：2726104 	 最后回复时间：3-10 	 回复数量：28 
标题：raj是富二代，为什么他老爸没有给他在美国买房子 	 链接：http://tieba.baidu.com/p/5013704799 	 发帖人：用津元炒... 	 最后回复时间：3-9 	 回复数量：23 
标题：最新一集里的那个娃娃好恐怖啊 	 链接：http://tieba.baidu.com/p/5094645716 	 发帖人：温暖双耳 	 最后回复时间：3-9 	 回复数量：24 
标题：开个帖，记录一下截屏的图，以后拿来发朋友圈 	 链接：http://tieba.baidu.com/p/5555207140 	 发帖人：bboystruggle 	 最后回复时间：3-9 	 回复数量：41 
标题：谢尔顿现实中是不是同性恋啊？ 	 链接：http://tieba.baidu.com/p/1570974540 	 发帖人：ID小维儿 	 最后回复时间：3-9 	 回复数量：61 
标题：如果有人说你智商低，你会说一句什么话反击？ 	 链接：http://tieba.baidu.com/p/2444205795 	 发帖人：度扁舟 	 最后回复时间：3-9 	 回复数量：83 
标题：为什么sheldon多了一个哥哥 	 链接：http://tieba.baidu.com/p/5453357563 	 发帖人：次元披风 	 最后回复时间：3-9 	 回复数量：19 
标题：谢耳朵死敌 威尔·惠顿 年轻时的照片！ 	 链接：http://tieba.baidu.com/p/5465743457 	 发帖人：meastt 	 最后回复时间：3-9 	 回复数量：31 
标题：【TBBT】《生活大爆炸》发布第十一季第16集剧照！ 	 链接：http://tieba.baidu.com/p/5544697568 	 发帖人：玺子 	 最后回复时间：3-9 	 回复数量：31 
标题：朋友们，姥姥睡觉前为什么要戴一个头箍？求科普 	 链接：http://tieba.baidu.com/p/5575602592 	 发帖人：zcn1993 	 最后回复时间：3-9 	 回复数量：16 
标题：penny说“he's shorter than me” 吓得我一紧。。。 	 链接：http://tieba.baidu.com/p/5073606946 	 发帖人：变不回王... 	 最后回复时间：3-8 	 回复数量：11 
标题：居然看到了一个熟悉的面孔 	 链接：http://tieba.baidu.com/p/5560111185 	 发帖人：爱笑的deaths 	 最后回复时间：3-8 	 回复数量：15 
标题：刚刚回顾第六季 注意到个小细节 	 链接：http://tieba.baidu.com/p/5050368056 	 发帖人：LTODD 	 最后回复时间：3-8 	 回复数量：14 
标题：开个科普贴，本人在印度（农村）生活过8个月，有什么想问的 	 链接：http://tieba.baidu.com/p/1491364062 	 发帖人：黑色诱惑1... 	 最后回复时间：3-8 	 回复数量：29982 
标题：Bazinga！ 	 链接：http://tieba.baidu.com/p/5485048112 	 发帖人：十圣殿骑... 	 最后回复时间：3-8 	 回复数量：13 
标题：哪位小可爱有这张照片啊，我现在找不到了 	 链接：http://tieba.baidu.com/p/5582794980 	 发帖人：ohaomao 	 最后回复时间：3-8 	 回复数量：11 
标题：【吧规+导航】《TBBT吧》删帖封禁标准，不看被删/封别找吧务 	 链接：http://tieba.baidu.com/p/3070074029 	 发帖人：将轨 	 最后回复时间：3-7 	 回复数量：49 
标题：请问生活大爆炸中有哪些关于诺贝尔的梗，希望大家告知，并告诉我 	 链接：http://tieba.baidu.com/p/5582441650 	 发帖人：royal问路 	 最后回复时间：3-7 	 回复数量：0 
标题：【TBBT】S11E16节目预告 	 链接：http://tieba.baidu.com/p/5546685424 	 发帖人：玺子 	 最后回复时间：3-7 	 回复数量：2 
标题：刚刚看第八季~有人觉得佩妮短发很难看么？ 	 链接：http://tieba.baidu.com/p/3532609421 	 发帖人：天阳草 	 最后回复时间：3-7 	 回复数量：69 
标题：为什么谢尔顿那么讨厌莱纳得还和他住在一起？ 	 链接：http://tieba.baidu.com/p/5017387510 	 发帖人：絮灵儿 	 最后回复时间：3-7 	 回复数量：33 
标题：话说最近在重温第二季，有个问题想请教大家 	 链接：http://tieba.baidu.com/p/4978767419 	 发帖人：heyOKC 	 最后回复时间：3-7 	 回复数量：49 
标题：为啥谢耳朵妈妈是教徒还那么种族歧视？ 	 链接：http://tieba.baidu.com/p/4885648176 	 发帖人：铁马秋风... 	 最后回复时间：3-7 	 回复数量：74 
